 Date= 1234 UT=56789. Lat=  0.0 Lon=   0.0 F107=100. F107A=100. Ap=  4.
 SZA= 56.7 LST=15.77 Dip= 22.7 Clat= -7.7 Clon=   1.5 CSZA= 60.2 Ec= 0.006 Ie=0
  Z     Photoion   EIion    Ecalc     O+(2P)    O+(2D)    O+(4S)     N+         N2+       O2+       NO+
 467.0    0.0    0.1    0.0    0.0    0.3    1.1    0.1    0.0    0.1    0.1
 482.0    0.0    0.1    0.0    0.0    0.2    0.9    0.1    0.0    0.1    0.1
 498.0    0.0    0.0    0.0    0.0    0.2    0.7    0.0    0.0    0.0    0.1
 515.0    0.0    0.0    0.0    0.0    0.1    0.5    0.0    0.0    0.0    0.1
 533.0    0.0    0.0    0.0    0.0    0.1    0.4    0.0    0.0    0.0    0.0
 551.0    0.0    0.0    0.0    0.0    0.1    0.3    0.0    0.0    0.0    0.0
 570.0    0.0    0.0    0.0    0.0    0.0    0.2    0.0    0.0    0.0    0.0
 590.0    0.0    0.0    0.0    0.0    0.0    0.2    0.0    0.0    0.0    0.0
 610.0    0.0    0.0    0.0    0.0    0.0    0.1    0.0    0.0    0.0    0.0
 630.0    0.0    0.0    0.0    0.0    0.0    0.1    0.0    0.0    0.0    0.0
 650.0    0.0    0.0    0.0    0.0    0.0    0.1    0.0    0.0    0.0    0.0
 670.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 690.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 710.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 730.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 750.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 770.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 790.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 810.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 830.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 850.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 870.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 890.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 910.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 930.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 950.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 VCB:   567.   996.   104.  2535.  2156.   387.  2288.   156.   385.   634.
