 Date= 1234 UT=56789. Lat=  0.0 Lon=   0.0 F107=100. F107A=100. Ap=  4.
 SZA= 56.7 LST=15.77 Dip= 22.7 Clat= -7.7 Clon=   1.5 CSZA= 60.2 Ec= 0.006 Ie=0
  Z     Photoion   EIion    Ecalc     O+(2P)    O+(2D)    O+(4S)     N+         N2+       O2+       NO+
 128.0  1.32E+03  1.16E+03  1.08E+05  1.74E+00  1.62E+00  1.63E+03  4.53E+01  3.04E+02  3.91E+04  6.37E+04
 130.0  1.41E+03  1.16E+03  1.12E+05  2.25E+00  2.11E+00  2.26E+03  5.87E+01  3.70E+02  3.96E+04  6.66E+04
 132.0  1.50E+03  1.16E+03  1.17E+05  2.87E+00  2.73E+00  3.07E+03  7.48E+01  4.46E+02  3.97E+04  6.99E+04
 134.0  1.59E+03  1.16E+03  1.22E+05  3.62E+00  3.47E+00  4.10E+03  9.38E+01  5.32E+02  3.98E+04  7.30E+04
 136.0  1.68E+03  1.16E+03  1.26E+05  4.50E+00  4.36E+00  5.38E+03  1.16E+02  6.28E+02  3.98E+04  7.61E+04
 138.0  1.77E+03  1.16E+03  1.31E+05  5.53E+00  5.41E+00  6.93E+03  1.40E+02  7.34E+02  3.99E+04  7.89E+04
 140.0  1.86E+03  1.15E+03  1.36E+05  6.71E+00  6.62E+00  8.79E+03  1.67E+02  8.49E+02  3.99E+04  8.14E+04
 142.0  1.94E+03  1.14E+03  1.40E+05  8.05E+00  8.00E+00  1.10E+04  1.97E+02  9.71E+02  3.99E+04  8.36E+04
 144.0  2.01E+03  1.13E+03  1.45E+05  9.55E+00  9.57E+00  1.35E+04  2.29E+02  1.10E+03  3.99E+04  8.55E+04
 146.0  2.08E+03  1.12E+03  1.50E+05  1.12E+01  1.13E+01  1.64E+04  2.63E+02  1.24E+03  3.99E+04  8.70E+04
 148.0  2.13E+03  1.10E+03  1.54E+05  1.31E+01  1.33E+01  1.97E+04  2.98E+02  1.37E+03  3.98E+04  8.82E+04
 150.0  2.18E+03  1.08E+03  1.59E+05  1.50E+01  1.55E+01  2.33E+04  3.34E+02  1.52E+03  3.96E+04  8.91E+04
 153.0  2.23E+03  1.04E+03  1.66E+05  1.84E+01  1.91E+01  2.95E+04  3.91E+02  1.73E+03  3.92E+04  8.98E+04
 156.0  2.26E+03  1.00E+03  1.72E+05  2.20E+01  2.32E+01  3.66E+04  4.50E+02  1.95E+03  3.85E+04  8.98E+04
 159.0  2.28E+03  9.62E+02  1.79E+05  2.60E+01  2.78E+01  4.45E+04  5.09E+02  2.16E+03  3.76E+04  8.91E+04
 162.0  2.27E+03  9.20E+02  1.85E+05  3.04E+01  3.29E+01  5.32E+04  5.70E+02  2.37E+03  3.64E+04  8.79E+04
 165.0  2.25E+03  8.76E+02  1.92E+05  3.50E+01  3.84E+01  6.28E+04  6.31E+02  2.56E+03  3.52E+04  8.60E+04
 168.0  2.21E+03  8.32E+02  1.99E+05  3.99E+01  4.44E+01  7.31E+04  6.92E+02  2.75E+03  3.38E+04  8.37E+04
 172.0  2.14E+03  7.75E+02  2.08E+05  4.68E+01  5.32E+01  8.80E+04  7.75E+02  2.97E+03  3.18E+04  8.00E+04
 176.0  2.06E+03  7.20E+02  2.18E+05  5.41E+01  6.29E+01  1.04E+05  8.59E+02  3.16E+03  2.98E+04  7.56E+04
 180.0  1.96E+03  6.66E+02  2.27E+05  6.17E+01  7.34E+01  1.21E+05  9.46E+02  3.32E+03  2.75E+04  7.08E+04
 185.0  1.83E+03  6.04E+02  2.41E+05  7.14E+01  8.77E+01  1.44E+05  1.06E+03  3.48E+03  2.49E+04  6.44E+04
 190.0  1.69E+03  5.46E+02  2.56E+05  8.14E+01  1.03E+02  1.68E+05  1.18E+03  3.60E+03  2.24E+04  5.78E+04
 195.0  1.56E+03  4.94E+02  2.72E+05  9.13E+01  1.21E+02  1.93E+05  1.32E+03  3.67E+03  2.00E+04  5.14E+04
 200.0  1.42E+03  4.46E+02  2.90E+05  1.01E+02  1.39E+02  2.20E+05  1.47E+03  3.70E+03  1.77E+04  4.52E+04
 205.0  1.29E+03  4.02E+02  2.26E+05  1.11E+02  1.59E+02  1.57E+05  1.44E+03  3.79E+03  1.46E+04  4.96E+04
 211.0  1.15E+03  3.55E+02  1.68E+05  1.22E+02  1.85E+02  9.42E+04  1.49E+03  3.86E+03  1.15E+04  5.65E+04
